district,crop,production,popularity_rank
Ahilyanagar,sugarcane,6361.69,1
Ahilyanagar,jowar,1475.72,2
Ahilyanagar,maize,1414.05,3
Ahilyanagar,bajara,831.06,4
Ahilyanagar,wheat,675.28,5
Ahilyanagar,chickpea,578.78,6
Ahilyanagar,soyabean,409.56,7
Ahilyanagar,cotton,184.72,8
Ahilyanagar,rice,114.31,9
Ahilyanagar,groundnut,72.83,10
Ahilyanagar,toor,59.41,11
Ahilyanagar,ragi,13.54,12
Ahilyanagar,sunflower,4.15,13
Ahilyanagar,sesame,0.55,14
Ahilyanagar,castor,0.41,15
Ahilyanagar,mustard,0.09,16
Akola,soyabean,3095.17,1
Akola,chickpea,852.98,2
Akola,toor,646.87,3
Akola,wheat,421.6,4
Akola,cotton,396.92,5
Akola,jowar,345.68,6
Akola,groundnut,47.04,7
Akola,maize,14.27,8
Akola,sugarcane,6.02,9
Akola,sunflower,2.14,10
Akola,sesame,2.02,11
Akola,bajara,1.8,12
Akola,castor,1.04,13
Akola,rice,0.2,14
Akola,mustard,0.08,15
Akola,ragi,0,16
Amarawati,soyabean,2201.2,1
Amarawati,chickpea,765.82,2
Amarawati,toor,728.4,3
Amarawati,cotton,587.42,4
Amarawati,wheat,533.18,5
Amarawati,jowar,223.43,6
Amarawati,groundnut,41.14,7
Amarawati,maize,37.85,8
Amarawati,rice,15.85,9
Amarawati,sugarcane,11.57,10
Amarawati,castor,1.53,11
Amarawati,sunflower,1.25,12
Amarawati,sesame,0.47,13
Amarawati,bajara,0.44,14
Amarawati,mustard,0.36,15
Amarawati,ragi,0,16
Beed,sugarcane,1396.17,1
Beed,jowar,1143.91,2
Beed,soyabean,743.61,3
Beed,bajara,580.5,4
Beed,cotton,411.74,5
Beed,wheat,327.13,6
Beed,chickpea,318.31,7
Beed,toor,242.52,8
Beed,maize,171.99,9
Beed,groundnut,50.4,10
Beed,sunflower,6.21,11
Beed,sesame,4.6,12
Beed,castor,1.88,13
Beed,rice,1.05,14
Beed,mustard,0.05,15
Beed,ragi,0,16
Bhandara,rice,4629.48,1
Bhandara,sugarcane,205.37,2
Bhandara,toor,110.42,3
Bhandara,wheat,105.26,4
Bhandara,chickpea,64.78,5
Bhandara,soyabean,37.57,6
Bhandara,maize,4.66,7
Bhandara,sesame,2.83,8
Bhandara,groundnut,0.23,9
Bhandara,mustard,0.17,10
Bhandara,sunflower,0.1,11
Bhandara,cotton,0.02,12
Bhandara,jowar,0,13
Bhandara,bajara,0,14
Bhandara,ragi,0,15
Bhandara,castor,0,16
Bombay,maize,0.1,1
Bombay,rice,0,2
Bombay,wheat,0,3
Bombay,jowar,0,4
Bombay,bajara,0,5
Bombay,ragi,0,6
Bombay,chickpea,0,7
Bombay,toor,0,8
Bombay,groundnut,0,9
Bombay,sesame,0,10
Bombay,mustard,0,11
Bombay,castor,0,12
Bombay,sunflower,0,13
Bombay,soyabean,0,14
Bombay,sugarcane,0,15
Bombay,cotton,0,16
Buldhana,soyabean,2776.19,1
Buldhana,maize,637.97,2
Buldhana,wheat,558.37,3
Buldhana,cotton,407.89,4
Buldhana,chickpea,390.1,5
Buldhana,jowar,346.57,6
Buldhana,toor,257.72,7
Buldhana,groundnut,23.95,8
Buldhana,sugarcane,11.23,9
Buldhana,bajara,8.7,10
Buldhana,sesame,2.71,11
Buldhana,sunflower,1.9,12
Buldhana,castor,1.51,13
Buldhana,mustard,0.34,14
Buldhana,rice,0,15
Buldhana,ragi,0,16
Chandrapur,rice,2716.87,1
Chandrapur,soyabean,681.22,2
Chandrapur,cotton,342.82,3
Chandrapur,toor,308.45,4
Chandrapur,wheat,167.6,5
Chandrapur,chickpea,144.12,6
Chandrapur,jowar,40.69,7
Chandrapur,maize,34.1,8
Chandrapur,sugarcane,3.37,9
Chandrapur,sesame,2.37,10
Chandrapur,mustard,0.8,11
Chandrapur,groundnut,0.18,12
Chandrapur,castor,0.15,13
Chandrapur,sunflower,0.12,14
Chandrapur,bajara,0.02,15
Chandrapur,ragi,0,16
Chh. Sambhajinagar,maize,3226.86,1
Chh. Sambhajinagar,sugarcane,1460.75,2
Chh. Sambhajinagar,cotton,1172.66,3
Chh. Sambhajinagar,jowar,959.12,4
Chh. Sambhajinagar,soyabean,696.92,5
Chh. Sambhajinagar,wheat,624.54,6
Chh. Sambhajinagar,toor,424.5,7
Chh. Sambhajinagar,bajara,417.79,8
Chh. Sambhajinagar,chickpea,402.03,9
Chh. Sambhajinagar,groundnut,31.01,10
Chh. Sambhajinagar,rice,3.1,11
Chh. Sambhajinagar,sunflower,2.61,12
Chh. Sambhajinagar,sesame,1.09,13
Chh. Sambhajinagar,castor,1.02,14
Chh. Sambhajinagar,mustard,0.29,15
Chh. Sambhajinagar,ragi,0,16
Dharashiv,soyabean,3512.04,1
Dharashiv,sugarcane,2889.95,2
Dharashiv,jowar,1854.4,3
Dharashiv,toor,1386.93,4
Dharashiv,chickpea,975.06,5
Dharashiv,wheat,396.28,6
Dharashiv,maize,201.81,7
Dharashiv,sunflower,109.27,8
Dharashiv,groundnut,53.85,9
Dharashiv,bajara,47.97,10
Dharashiv,cotton,45.38,11
Dharashiv,rice,36.17,12
Dharashiv,sesame,9.73,13
Dharashiv,castor,2.53,14
Dharashiv,mustard,0.9,15
Dharashiv,ragi,0,16
Dhule,maize,2034.05,1
Dhule,sugarcane,886.77,2
Dhule,wheat,880.7,3
Dhule,jowar,785.67,4
Dhule,bajara,754.38,5
Dhule,cotton,544.19,6
Dhule,chickpea,530.39,7
Dhule,soyabean,421.57,8
Dhule,rice,215.86,9
Dhule,groundnut,177.39,10
Dhule,toor,93.2,11
Dhule,ragi,8.99,12
Dhule,sesame,4.63,13
Dhule,castor,1.65,14
Dhule,mustard,1.4,15
Dhule,sunflower,1.36,16
Jalgaon,maize,2899.09,1
Jalgaon,cotton,1253.46,2
Jalgaon,jowar,1225.78,3
Jalgaon,sugarcane,543.15,4
Jalgaon,wheat,526,5
Jalgaon,chickpea,394.18,6
Jalgaon,soyabean,256.14,7
Jalgaon,bajara,146.6,8
Jalgaon,toor,96.87,9
Jalgaon,groundnut,33.04,10
Jalgaon,sesame,13.56,11
Jalgaon,sunflower,1.18,12
